Reminder,Duration,Exercise,Work,Leisure,Natural
Remind,work,exercise,assignment,leisure,meal
let,winner,,work,watch,sleep
Alarm,interview,catch,occupation,play,nap
Notification,,throw,contract,playing,
Report,meeting,teams,job,story,drink
Announce,conversation,players,task,viewed,food
Notice,opponent,running,price,view,eat
Warn,gathering,moving,money,singing,eats
inform,event,climbing,,pleasant,introspection
notify,game,movement,,pleasing,contemplation
alert,meal,,,read,breath
advise,event,movements,,visiting,
tell ,performance,compete,,experience,
fill,happening,contestant,,relax,
know ,action,biking,,chat,
update ,perform,ride,,talk,
Instruction,exercise,sport,,journey,
call,study,along,,catching,
attention,learn,,,game,
,sleep,,,,
