Reminder,Duration,Exercise,Work,Leisure,Natural
Remind,work,exercise,assignment,leisure,meal
let,winner,,work,watch,sleep
Alarm,interview,catch,occupation,play,nap
Notification,,throw,contract,playing,
Report,meeting,teams,job,story,drink
Announce,conversation,players,task,viewed,food
Notice,opponent,running,price,view,eat
Warn,gathering,moving,money,singing,eats
inform,event,climbing,class,pleasant,introspection
notify,game,movement,lesson,pleasing,contemplation
alert,meal,,learn,read,breath
advise,event,movements,seminar,visiting,
tell ,performance,compete,workshop,experience,
fill,happening,contestant,study,relax,
know ,action,biking,paid,chat,
update ,perform,ride,profit,talk,
Instruction,exercise,sport,,journey,
call,study,along,,catching,
attention,learn,,,game,
,sleep,,,,
